symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2023-03-01 00:02:00+00:00,147.1,147.1,147.1,147.1,329.0,16.0,147.100912
AAPL,2023-03-01 00:03:00+00:00,147.1,147.1,147.02,147.02,7035.0,34.0,147.048884
AAPL,2023-03-01 00:04:00+00:00,147.05,147.05,147.05,147.05,1860.0,36.0,147.051962
AAPL,2023-03-01 00:05:00+00:00,147.05,147.05,147.01,147.01,2526.0,70.0,147.022336
AAPL,2023-03-01 00:06:00+00:00,147.02,147.02,147.02,147.02,915.0,25.0,147.022383
AAPL,2023-03-01 00:08:00+00:00,147.03,147.03,147.03,147.03,180.0,29.0,147.033556
AAPL,2023-03-01 00:10:00+00:00,147.02,147.02,147.02,147.02,541.0,44.0,147.040203
AAPL,2023-03-01 00:12:00+00:00,147.02,147.02,147.02,147.02,883.0,36.0,147.024122
AAPL,2023-03-01 00:15:00+00:00,147.04,147.04,147.04,147.04,442.0,18.0,147.038371
AAPL,2023-03-01 00:16:00+00:00,147.02,147.04,147.0,147.04,13034.0,80.0,147.006082
AAPL,2023-03-01 00:17:00+00:00,147.02,147.05,147.02,147.05,4273.0,35.0,147.035535
AAPL,2023-03-01 00:18:00+00:00,147.01,147.01,146.99,146.99,13012.0,198.0,146.99869
AAPL,2023-03-01 00:22:00+00:00,147.05,147.05,147.05,147.05,1317.0,51.0,147.045831
AAPL,2023-03-01 00:23:00+00:00,147.02,147.02,147.02,147.02,420.0,43.0,147.026548
AAPL,2023-03-01 00:29:00+00:00,147.01,147.01,147.01,147.01,474.0,41.0,147.013945
AAPL,2023-03-01 00:30:00+00:00,147.05,147.05,147.05,147.05,1024.0,80.0,147.007578
AAPL,2023-03-01 00:31:00+00:00,146.98,146.98,146.98,146.98,199.0,40.0,146.989045
AAPL,2023-03-01 00:32:00+00:00,147.03,147.08,147.03,147.08,1168.0,52.0,147.064221
AAPL,2023-03-01 00:38:00+00:00,147.03,147.03,147.03,147.03,1213.0,36.0,147.028631
AAPL,2023-03-01 00:40:00+00:00,147.01,147.01,147.01,147.01,226.0,12.0,147.006947
AAPL,2023-03-01 00:41:00+00:00,146.99,146.99,146.99,146.99,286.0,13.0,146.991434
AAPL,2023-03-01 00:44:00+00:00,146.91,146.91,146.9,146.9,1940.0,66.0,146.909876
AAPL,2023-03-01 00:45:00+00:00,146.94,146.94,146.94,146.94,380.0,46.0,146.908447
AAPL,2023-03-01 00:46:00+00:00,146.86,146.89,146.86,146.86,3070.0,53.0,146.861801
AAPL,2023-03-01 00:47:00+00:00,146.85,146.85,146.85,146.85,1407.0,48.0,146.855231
AAPL,2023-03-01 00:48:00+00:00,146.86,146.86,146.85,146.85,901.0,38.0,146.853208
AAPL,2023-03-01 00:49:00+00:00,146.85,146.86,146.85,146.86,1803.0,45.0,146.859418
AAPL,2023-03-01 00:50:00+00:00,146.87,146.99,146.87,146.99,4789.0,24.0,146.895435
AAPL,2023-03-01 00:52:00+00:00,146.98,146.98,146.98,146.98,280.0,44.0,146.9535
AAPL,2023-03-01 00:53:00+00:00,146.99,146.99,146.99,146.99,1496.0,47.0,146.986444
AAPL,2023-03-01 00:54:00+00:00,146.96,146.96,146.96,146.96,1053.0,26.0,146.959259
AAPL,2023-03-01 00:56:00+00:00,146.89,146.89,146.89,146.89,305.0,20.0,146.894197
AAPL,2023-03-01 00:57:00+00:00,146.91,146.91,146.91,146.91,360.0,29.0,146.912944
AAPL,2023-03-01 00:58:00+00:00,146.9,146.92,146.9,146.9,13234.0,42.0,146.901292
AAPL,2023-03-01 00:59:00+00:00,146.92,146.93,146.9,146.93,2578.0,41.0,146.902673
AAPL,2023-03-01 09:00:00+00:00,147.66,148.3,147.66,148.3,2058.0,58.0,148.185053
AAPL,2023-03-01 09:01:00+00:00,148.28,148.3,148.13,148.3,2181.0,60.0,148.249606
AAPL,2023-03-01 09:02:00+00:00,148.2,148.3,148.2,148.3,1173.0,19.0,148.281714
AAPL,2023-03-01 09:03:00+00:00,148.3,148.3,148.28,148.3,1707.0,30.0,148.293169
AAPL,2023-03-01 09:04:00+00:00,148.23,148.32,148.2,148.3,4008.0,50.0,148.271879
AAPL,2023-03-01 09:05:00+00:00,148.32,148.33,148.11,148.25,3618.0,73.0,148.264682
AAPL,2023-03-01 09:06:00+00:00,148.18,148.18,148.18,148.18,171.0,7.0,148.197953
AAPL,2023-03-01 09:08:00+00:00,148.19,148.19,148.19,148.19,1187.0,38.0,148.172039
AAPL,2023-03-01 09:10:00+00:00,148.25,148.28,148.24,148.24,1522.0,26.0,148.24724
AAPL,2023-03-01 09:11:00+00:00,148.2,148.2,148.2,148.2,291.0,5.0,148.200378
AAPL,2023-03-01 09:12:00+00:00,148.23,148.24,148.23,148.24,423.0,9.0,148.229433
AAPL,2023-03-01 09:13:00+00:00,148.24,148.25,148.24,148.25,567.0,19.0,148.236014
AAPL,2023-03-01 09:15:00+00:00,148.16,148.16,148.16,148.16,212.0,6.0,148.160425
AAPL,2023-03-01 09:16:00+00:00,148.21,148.23,148.21,148.23,659.0,24.0,148.220789
AAPL,2023-03-01 09:17:00+00:00,148.16,148.16,148.1,148.1,1426.0,27.0,148.133619
AAPL,2023-03-01 09:18:00+00:00,148.07,148.07,148.07,148.07,488.0,18.0,148.091107
AAPL,2023-03-01 09:19:00+00:00,148.14,148.23,148.07,148.07,777.0,16.0,148.138404
AAPL,2023-03-01 09:20:00+00:00,148.1,148.1,148.1,148.1,421.0,8.0,148.108432
AAPL,2023-03-01 09:22:00+00:00,148.05,148.05,147.98,147.98,987.0,34.0,148.009169
AAPL,2023-03-01 09:23:00+00:00,148.0,148.0,147.9,147.9,902.0,18.0,147.943248
AAPL,2023-03-01 09:24:00+00:00,147.95,147.95,147.95,147.95,221.0,4.0,147.957195
AAPL,2023-03-01 09:25:00+00:00,148.08,148.08,148.08,148.08,434.0,17.0,148.089816
AAPL,2023-03-01 09:26:00+00:00,148.0,148.0,148.0,148.0,1005.0,6.0,148.000637
AAPL,2023-03-01 09:29:00+00:00,148.02,148.02,148.02,148.02,468.0,3.0,148.02
AAPL,2023-03-01 09:30:00+00:00,148.09,148.09,148.09,148.09,421.0,6.0,148.091758
AAPL,2023-03-01 09:32:00+00:00,148.13,148.29,148.13,148.18,1214.0,34.0,148.163567
AAPL,2023-03-01 09:35:00+00:00,148.14,148.14,148.14,148.14,117.0,3.0,148.143248
AAPL,2023-03-01 09:36:00+00:00,148.13,148.13,148.13,148.13,559.0,11.0,148.136583
AAPL,2023-03-01 09:37:00+00:00,148.12,148.12,148.12,148.12,415.0,4.0,148.12
AAPL,2023-03-01 09:41:00+00:00,148.12,148.12,148.12,148.12,725.0,11.0,148.12
AAPL,2023-03-01 09:42:00+00:00,148.12,148.12,148.12,148.12,1177.0,17.0,148.120085
AAPL,2023-03-01 09:45:00+00:00,148.17,148.17,148.17,148.17,230.0,8.0,148.15213
AAPL,2023-03-01 09:48:00+00:00,148.1,148.1,148.1,148.1,154.0,3.0,148.1
AAPL,2023-03-01 09:49:00+00:00,148.08,148.1,148.08,148.1,668.0,13.0,148.083548
AAPL,2023-03-01 09:50:00+00:00,148.1,148.1,148.1,148.1,379.0,6.0,148.099921
AAPL,2023-03-01 09:54:00+00:00,148.13,148.13,148.13,148.13,262.0,7.0,148.130878
AAPL,2023-03-01 09:55:00+00:00,148.13,148.13,148.13,148.13,241.0,4.0,148.129834
AAPL,2023-03-01 09:57:00+00:00,148.17,148.17,148.17,148.17,554.0,23.0,148.153051
AAPL,2023-03-01 10:02:00+00:00,148.16,148.16,148.16,148.16,1216.0,19.0,148.157919
AAPL,2023-03-01 10:11:00+00:00,148.15,148.15,148.15,148.15,268.0,9.0,148.150112
AAPL,2023-03-01 10:12:00+00:00,148.19,148.19,148.19,148.19,739.0,22.0,148.179865
AAPL,2023-03-01 10:25:00+00:00,148.12,148.12,148.12,148.12,576.0,18.0,148.12342
AAPL,2023-03-01 10:28:00+00:00,148.2,148.21,148.2,148.21,842.0,20.0,148.208515
AAPL,2023-03-01 10:31:00+00:00,148.22,148.22,148.22,148.22,290.0,2.0,148.218448
AAPL,2023-03-01 10:34:00+00:00,148.2,148.2,148.2,148.2,433.0,9.0,148.2
AAPL,2023-03-01 10:36:00+00:00,148.17,148.17,148.17,148.17,113.0,4.0,148.17
AAPL,2023-03-01 10:38:00+00:00,148.19,148.22,148.19,148.22,896.0,40.0,148.196942
AAPL,2023-03-01 10:40:00+00:00,148.28,148.28,148.28,148.28,212.0,7.0,148.28
AAPL,2023-03-01 10:41:00+00:00,148.28,148.28,148.28,148.28,745.0,11.0,148.28
AAPL,2023-03-01 10:42:00+00:00,148.28,148.28,148.28,148.28,1078.0,14.0,148.280121
AAPL,2023-03-01 10:44:00+00:00,148.21,148.21,148.21,148.21,630.0,19.0,148.230476
AAPL,2023-03-01 10:47:00+00:00,148.24,148.24,148.24,148.24,216.0,7.0,148.239583
AAPL,2023-03-01 10:48:00+00:00,148.28,148.28,148.28,148.28,253.0,7.0,148.26166
AAPL,2023-03-01 10:52:00+00:00,148.26,148.26,148.26,148.26,101.0,2.0,148.259505
AAPL,2023-03-01 10:53:00+00:00,148.27,148.28,148.27,148.28,1136.0,15.0,148.271945
AAPL,2023-03-01 10:55:00+00:00,148.29,148.3,148.29,148.3,5055.0,37.0,148.298376
AAPL,2023-03-01 10:57:00+00:00,148.38,148.38,148.38,148.38,306.0,15.0,148.392778
AAPL,2023-03-01 10:58:00+00:00,148.45,148.45,148.39,148.39,719.0,10.0,148.408512
AAPL,2023-03-01 10:59:00+00:00,148.39,148.39,148.37,148.37,500.0,6.0,148.39196
AAPL,2023-03-01 11:00:00+00:00,148.4,148.41,148.35,148.35,1666.0,32.0,148.38913
AAPL,2023-03-01 11:10:00+00:00,148.42,148.42,148.42,148.42,1119.0,15.0,148.420018
AAPL,2023-03-01 11:17:00+00:00,148.45,148.47,148.45,148.47,1116.0,19.0,148.459588
AAPL,2023-03-01 11:19:00+00:00,148.48,148.48,148.48,148.48,143.0,9.0,148.482727
AAPL,2023-03-01 11:20:00+00:00,148.49,148.49,148.49,148.49,432.0,14.0,148.485903
AAPL,2023-03-01 11:21:00+00:00,148.45,148.45,148.45,148.45,422.0,10.0,148.451659
AAPL,2023-03-01 11:24:00+00:00,148.49,148.49,148.49,148.49,426.0,12.0,148.488592
AAPL,2023-03-01 11:25:00+00:00,148.49,148.49,148.49,148.49,856.0,41.0,148.493248
AAPL,2023-03-01 11:28:00+00:00,148.43,148.43,148.43,148.43,262.0,11.0,148.447137
AAPL,2023-03-01 11:29:00+00:00,148.42,148.42,148.42,148.42,492.0,15.0,148.421646
AAPL,2023-03-01 11:30:00+00:00,148.44,148.45,148.31,148.31,1581.0,21.0,148.421347
AAPL,2023-03-01 11:34:00+00:00,148.33,148.33,148.33,148.33,533.0,7.0,148.333865
AAPL,2023-03-01 11:36:00+00:00,148.39,148.39,148.39,148.39,243.0,4.0,148.39
AAPL,2023-03-01 11:39:00+00:00,148.32,148.35,148.32,148.35,800.0,10.0,148.343963
AAPL,2023-03-01 11:47:00+00:00,148.38,148.38,148.38,148.38,1066.0,17.0,148.378349
AAPL,2023-03-01 11:48:00+00:00,148.32,148.32,148.32,148.32,204.0,5.0,148.320098
AAPL,2023-03-01 11:49:00+00:00,148.34,148.35,148.34,148.34,2387.0,22.0,148.345191
AAPL,2023-03-01 11:52:00+00:00,148.3,148.32,148.3,148.3,1935.0,26.0,148.308992
AAPL,2023-03-01 11:54:00+00:00,148.28,148.28,148.19,148.21,3809.0,27.0,148.233872
AAPL,2023-03-01 11:55:00+00:00,148.25,148.25,148.25,148.25,332.0,15.0,148.250301
AAPL,2023-03-01 11:56:00+00:00,148.21,148.21,148.2,148.21,2136.0,10.0,148.207551
AAPL,2023-03-01 11:57:00+00:00,148.24,148.24,148.24,148.24,1560.0,12.0,148.239359
AAPL,2023-03-01 12:00:00+00:00,148.19,148.2,148.12,148.16,7411.0,105.0,148.186064
AAPL,2023-03-01 12:01:00+00:00,148.17,148.17,148.17,148.17,1030.0,26.0,148.173602
AAPL,2023-03-01 12:02:00+00:00,148.17,148.18,148.17,148.18,1932.0,40.0,148.16501
AAPL,2023-03-01 12:03:00+00:00,148.2,148.2,148.2,148.2,823.0,21.0,148.187436
AAPL,2023-03-01 12:04:00+00:00,148.19,148.25,148.19,148.25,2685.0,34.0,148.220827
AAPL,2023-03-01 12:05:00+00:00,148.21,148.21,148.2,148.2,1262.0,23.0,148.2142
AAPL,2023-03-01 12:06:00+00:00,148.18,148.18,148.18,148.18,2268.0,37.0,148.18276
AAPL,2023-03-01 12:07:00+00:00,148.2,148.2,148.2,148.2,2066.0,25.0,148.197972
AAPL,2023-03-01 12:08:00+00:00,148.19,148.2,148.19,148.2,1070.0,10.0,148.196729
AAPL,2023-03-01 12:09:00+00:00,148.2,148.2,148.18,148.18,767.0,21.0,148.186584
AAPL,2023-03-01 12:10:00+00:00,148.18,148.18,148.17,148.17,1784.0,46.0,148.179238
AAPL,2023-03-01 12:14:00+00:00,148.13,148.15,148.04,148.1,9206.0,226.0,148.082224
AAPL,2023-03-01 12:15:00+00:00,148.1,148.1,148.1,148.1,808.0,16.0,148.094592
AAPL,2023-03-01 12:17:00+00:00,148.1,148.1,148.1,148.1,3309.0,33.0,148.10171
AAPL,2023-03-01 12:18:00+00:00,148.1,148.1,148.1,148.1,544.0,13.0,148.103456
AAPL,2023-03-01 12:19:00+00:00,148.12,148.12,148.12,148.12,1185.0,7.0,148.11903
AAPL,2023-03-01 12:20:00+00:00,148.09,148.11,148.09,148.11,1114.0,21.0,148.099623
AAPL,2023-03-01 12:21:00+00:00,148.11,148.12,148.11,148.11,4807.0,26.0,148.110102
AAPL,2023-03-01 12:23:00+00:00,148.1,148.1,148.1,148.1,429.0,13.0,148.098951
AAPL,2023-03-01 12:25:00+00:00,148.12,148.12,148.08,148.12,4352.0,57.0,148.105057
AAPL,2023-03-01 12:26:00+00:00,148.12,148.13,148.12,148.13,943.0,13.0,148.123192
AAPL,2023-03-01 12:27:00+00:00,148.09,148.13,148.09,148.09,7770.0,76.0,148.093147
AAPL,2023-03-01 12:28:00+00:00,148.09,148.17,148.09,148.12,4911.0,60.0,148.118
AAPL,2023-03-01 12:29:00+00:00,148.12,148.12,148.12,148.12,235.0,7.0,148.120383
AAPL,2023-03-01 12:30:00+00:00,148.12,148.12,148.11,148.11,2910.0,23.0,148.120124
AAPL,2023-03-01 12:31:00+00:00,148.11,148.11,148.11,148.11,2601.0,17.0,148.11158
AAPL,2023-03-01 12:34:00+00:00,148.14,148.14,148.14,148.14,527.0,9.0,148.141101
AAPL,2023-03-01 12:36:00+00:00,148.14,148.14,148.11,148.11,2463.0,54.0,148.12892
AAPL,2023-03-01 12:42:00+00:00,148.11,148.11,148.11,148.11,1441.0,21.0,148.110867
AAPL,2023-03-01 12:46:00+00:00,148.13,148.13,148.13,148.13,122.0,8.0,148.13082
AAPL,2023-03-01 12:47:00+00:00,148.11,148.11,148.11,148.11,946.0,25.0,148.108901
AAPL,2023-03-01 12:48:00+00:00,148.1,148.1,148.08,148.08,2167.0,64.0,148.094689
AAPL,2023-03-01 12:53:00+00:00,148.1,148.1,148.08,148.08,1223.0,41.0,148.095102
AAPL,2023-03-01 12:58:00+00:00,148.04,148.04,148.04,148.04,474.0,17.0,148.045443
AAPL,2023-03-01 12:59:00+00:00,148.09,148.09,148.09,148.09,1618.0,39.0,148.080569
AAPL,2023-03-01 13:00:00+00:00,148.1401,148.2001,148.0,148.06,41034.0,405.0,148.103838
AAPL,2023-03-01 13:01:00+00:00,148.0,148.0,147.9651,147.9651,3831.0,515.0,147.995633
AAPL,2023-03-01 13:02:00+00:00,147.95,147.95,147.6,147.9,3100.0,223.0,147.84716
