symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2023-03-01 00:00:00+00:00,93.96,93.96,93.96,93.96,373.0,26.0,93.974075
AMZN,2023-03-01 00:02:00+00:00,93.91,93.91,93.9,93.9,436.0,23.0,93.907844
AMZN,2023-03-01 00:03:00+00:00,93.88,93.88,93.88,93.88,1132.0,20.0,93.883189
AMZN,2023-03-01 00:04:00+00:00,93.88,93.88,93.88,93.88,172.0,8.0,93.881977
AMZN,2023-03-01 00:05:00+00:00,93.89,93.89,93.88,93.88,2308.0,20.0,93.882673
AMZN,2023-03-01 00:08:00+00:00,93.95,93.96,93.88,93.9,3456.0,36.0,93.905443
AMZN,2023-03-01 00:10:00+00:00,93.88,93.88,93.88,93.88,359.0,12.0,93.885571
AMZN,2023-03-01 00:11:00+00:00,93.8801,93.8801,93.8801,93.8801,444.0,20.0,93.881788
AMZN,2023-03-01 00:12:00+00:00,93.88,93.88,93.88,93.88,1623.0,18.0,93.880012
AMZN,2023-03-01 00:13:00+00:00,93.88,93.88,93.88,93.88,7111.0,28.0,93.879868
AMZN,2023-03-01 00:14:00+00:00,93.91,93.91,93.85,93.85,1808.0,23.0,93.8563
AMZN,2023-03-01 00:16:00+00:00,93.83,93.85,93.83,93.85,1441.0,50.0,93.823803
AMZN,2023-03-01 00:17:00+00:00,93.8,93.8,93.78,93.78,1248.0,46.0,93.807724
AMZN,2023-03-01 00:18:00+00:00,93.75,93.75,93.75,93.75,615.0,22.0,93.79465
AMZN,2023-03-01 00:20:00+00:00,93.79,93.8,93.79,93.8,981.0,19.0,93.789817
AMZN,2023-03-01 00:21:00+00:00,93.79,93.8,93.79,93.8,1009.0,13.0,93.795292
AMZN,2023-03-01 00:22:00+00:00,93.77,93.77,93.77,93.77,147.0,24.0,93.773673
AMZN,2023-03-01 00:23:00+00:00,93.79,93.79,93.79,93.79,323.0,11.0,93.789783
AMZN,2023-03-01 00:24:00+00:00,93.79,93.79,93.79,93.79,430.0,20.0,93.787023
AMZN,2023-03-01 00:25:00+00:00,93.75,93.75,93.75,93.75,1203.0,24.0,93.752569
AMZN,2023-03-01 00:27:00+00:00,93.79,93.8,93.78,93.78,1899.0,19.0,93.793655
AMZN,2023-03-01 00:29:00+00:00,93.8,93.81,93.8,93.8,2055.0,20.0,93.801854
AMZN,2023-03-01 00:31:00+00:00,93.85,93.85,93.85,93.85,452.0,17.0,93.841836
AMZN,2023-03-01 00:34:00+00:00,93.85,93.85,93.85,93.85,161.0,14.0,93.851677
AMZN,2023-03-01 00:36:00+00:00,93.85,93.85,93.77,93.77,1534.0,21.0,93.810267
AMZN,2023-03-01 00:38:00+00:00,93.75,93.75,93.75,93.75,455.0,15.0,93.754154
AMZN,2023-03-01 00:39:00+00:00,93.76,93.76,93.75,93.75,536.0,26.0,93.756026
AMZN,2023-03-01 00:40:00+00:00,93.75,93.75,93.75,93.75,567.0,9.0,93.750141
AMZN,2023-03-01 00:41:00+00:00,93.74,93.74,93.7,93.7,1083.0,38.0,93.726436
AMZN,2023-03-01 00:42:00+00:00,93.7,93.7,93.7,93.7,713.0,14.0,93.699677
AMZN,2023-03-01 00:44:00+00:00,93.7,93.7,93.63,93.63,1084.0,42.0,93.677445
AMZN,2023-03-01 00:45:00+00:00,93.71,93.72,93.71,93.72,853.0,21.0,93.717339
AMZN,2023-03-01 00:47:00+00:00,93.72,93.72,93.72,93.72,849.0,29.0,93.72
AMZN,2023-03-01 00:48:00+00:00,93.71,93.71,93.71,93.71,518.0,21.0,93.710251
AMZN,2023-03-01 00:49:00+00:00,93.71,93.71,93.69,93.69,489.0,12.0,93.700184
AMZN,2023-03-01 00:50:00+00:00,93.67,93.75,93.64,93.75,4174.0,29.0,93.702707
AMZN,2023-03-01 00:51:00+00:00,93.75,93.75,93.7,93.7,659.0,16.0,93.744886
AMZN,2023-03-01 00:52:00+00:00,93.71,93.77,93.71,93.77,986.0,25.0,93.74574
