symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-03-01 00:00:00+00:00,228.7,228.7,228.7,228.7,1390.0,21.0,228.687086
NVDA,2023-03-01 00:01:00+00:00,228.62,228.62,228.6,228.6,2641.0,46.0,228.61103
NVDA,2023-03-01 00:02:00+00:00,228.52,228.61,228.38,228.61,8573.0,106.0,228.437378
NVDA,2023-03-01 00:03:00+00:00,228.35,228.41,228.35,228.41,963.0,33.0,228.369159
NVDA,2023-03-01 00:04:00+00:00,228.41,228.41,228.35,228.4,1860.0,61.0,228.385689
NVDA,2023-03-01 00:05:00+00:00,228.4,228.4,228.35,228.35,1681.0,46.0,228.394045
NVDA,2023-03-01 00:06:00+00:00,228.5,228.5,228.35,228.4,1628.0,27.0,228.397353
NVDA,2023-03-01 00:07:00+00:00,228.4,228.4,228.25,228.27,6782.0,81.0,228.299906
NVDA,2023-03-01 00:08:00+00:00,228.35,228.5,228.35,228.5,2655.0,58.0,228.455846
NVDA,2023-03-01 00:09:00+00:00,228.44,228.44,228.3,228.3,5331.0,46.0,228.342731
NVDA,2023-03-01 00:11:00+00:00,228.35,228.35,228.25,228.32,4122.0,49.0,228.314968
NVDA,2023-03-01 00:12:00+00:00,228.24,228.3,228.24,228.25,5459.0,34.0,228.269697
NVDA,2023-03-01 00:13:00+00:00,228.25,228.3,228.24,228.3,4700.0,70.0,228.254928
NVDA,2023-03-01 00:14:00+00:00,228.27,228.35,228.27,228.29,1288.0,17.0,228.293804
NVDA,2023-03-01 00:15:00+00:00,228.32,228.38,228.32,228.38,1452.0,49.0,228.346536
NVDA,2023-03-01 00:16:00+00:00,228.29,228.32,228.25,228.32,4247.0,36.0,228.273148
NVDA,2023-03-01 00:17:00+00:00,228.35,228.37,228.35,228.35,827.0,17.0,228.360375
NVDA,2023-03-01 00:18:00+00:00,228.44,228.44,228.4,228.4,853.0,25.0,228.384889
NVDA,2023-03-01 00:19:00+00:00,228.33,228.4,228.33,228.4,1065.0,28.0,228.36262
NVDA,2023-03-01 00:20:00+00:00,228.43,228.54,228.43,228.54,20930.0,46.0,228.499169
NVDA,2023-03-01 00:21:00+00:00,228.52,228.52,228.52,228.52,801.0,28.0,228.553633
NVDA,2023-03-01 00:22:00+00:00,228.5,228.6,228.5,228.6,1135.0,19.0,228.57963
NVDA,2023-03-01 00:23:00+00:00,228.6001,228.7,228.6,228.6899,2091.0,60.0,228.647676
NVDA,2023-03-01 00:24:00+00:00,228.6,228.7,228.6,228.7,1654.0,45.0,228.645453
NVDA,2023-03-01 00:25:00+00:00,228.7,228.7,228.7,228.7,1742.0,29.0,228.700103
NVDA,2023-03-01 00:26:00+00:00,228.74,228.74,228.7,228.7,1755.0,41.0,228.707675
NVDA,2023-03-01 00:27:00+00:00,228.7,228.7,228.7,228.7,971.0,27.0,228.67656
NVDA,2023-03-01 00:28:00+00:00,228.65,228.65,228.6,228.6,828.0,39.0,228.632729
NVDA,2023-03-01 00:29:00+00:00,228.63,228.7,228.6,228.6,3523.0,34.0,228.633344
NVDA,2023-03-01 00:30:00+00:00,228.6,228.6,228.6,228.6,870.0,18.0,228.602713
NVDA,2023-03-01 00:31:00+00:00,228.67,228.67,228.65,228.65,1420.0,40.0,228.647014
NVDA,2023-03-01 00:32:00+00:00,228.62,228.62,228.62,228.62,550.0,21.0,228.624818
NVDA,2023-03-01 00:33:00+00:00,228.61,228.61,228.61,228.61,521.0,14.0,228.612476
NVDA,2023-03-01 00:34:00+00:00,228.62,228.62,228.61,228.61,847.0,36.0,228.628052
NVDA,2023-03-01 00:35:00+00:00,228.6,228.64,228.6,228.64,1072.0,40.0,228.610765
NVDA,2023-03-01 00:36:00+00:00,228.64,228.65,228.62,228.65,2132.0,24.0,228.624259
NVDA,2023-03-01 00:37:00+00:00,228.65,228.65,228.65,228.65,784.0,28.0,228.647806
NVDA,2023-03-01 00:38:00+00:00,228.7,228.74,228.7,228.7,680.0,16.0,228.709765
NVDA,2023-03-01 00:39:00+00:00,228.74,228.74,228.74,228.74,1433.0,36.0,228.732247
NVDA,2023-03-01 00:40:00+00:00,228.73,228.73,228.65,228.65,942.0,29.0,228.679193
NVDA,2023-03-01 00:42:00+00:00,228.65,228.65,228.6,228.65,3433.0,37.0,228.624678
NVDA,2023-03-01 00:44:00+00:00,228.7,228.73,228.6,228.6,1558.0,41.0,228.6819
NVDA,2023-03-01 00:45:00+00:00,228.61,228.67,228.6,228.67,2128.0,41.0,228.627979
NVDA,2023-03-01 00:46:00+00:00,228.65,228.65,228.6499,228.6499,691.0,27.0,228.651738
NVDA,2023-03-01 00:47:00+00:00,228.6,228.66,228.6,228.6,2203.0,46.0,228.607739
NVDA,2023-03-01 00:48:00+00:00,228.66,228.66,228.66,228.66,537.0,32.0,228.629348
NVDA,2023-03-01 00:49:00+00:00,228.6,228.6,228.6,228.6,1000.0,14.0,228.6004
NVDA,2023-03-01 00:50:00+00:00,228.6,228.61,228.5,228.61,5723.0,73.0,228.579717
NVDA,2023-03-01 00:51:00+00:00,228.51,228.51,228.5,228.5,2879.0,39.0,228.502848
NVDA,2023-03-01 00:52:00+00:00,228.5,228.52,228.5,228.5001,3014.0,44.0,228.500916
NVDA,2023-03-01 00:53:00+00:00,228.45,228.45,228.35,228.35,1657.0,46.0,228.374629
NVDA,2023-03-01 00:54:00+00:00,228.35,228.35,228.2,228.2,4433.0,104.0,228.241964
NVDA,2023-03-01 00:55:00+00:00,228.2,228.25,228.16,228.16,6063.0,75.0,228.200696
NVDA,2023-03-01 00:56:00+00:00,228.25,228.25,228.19,228.19,2307.0,37.0,228.239991
NVDA,2023-03-01 00:57:00+00:00,228.19,228.2,228.16,228.2,5320.0,76.0,228.186209
NVDA,2023-03-01 00:58:00+00:00,228.2,228.36,228.18,228.3,6099.0,46.0,228.240098
NVDA,2023-03-01 00:59:00+00:00,228.34,228.37,228.25,228.35,7418.0,83.0,228.338355
NVDA,2023-03-01 09:00:00+00:00,229.13,230.6,229.13,229.86,4092.0,93.0,229.955533
NVDA,2023-03-01 09:01:00+00:00,229.84,229.84,229.7,229.8,4460.0,133.0,229.76476
NVDA,2023-03-01 09:02:00+00:00,229.79,229.8,229.43,229.8,6839.0,111.0,229.705909
NVDA,2023-03-01 09:03:00+00:00,229.5,229.5,229.5,229.5,1233.0,37.0,229.578962
NVDA,2023-03-01 09:04:00+00:00,229.68,229.8,229.68,229.8,4242.0,65.0,229.712428
NVDA,2023-03-01 09:05:00+00:00,229.84,230.0,229.84,230.0,2163.0,63.0,229.92154
NVDA,2023-03-01 09:06:00+00:00,230.0,230.0,229.89,229.98,4740.0,81.0,229.923789
NVDA,2023-03-01 09:07:00+00:00,229.98,230.04,229.98,230.04,983.0,26.0,230.015331
NVDA,2023-03-01 09:08:00+00:00,230.02,230.06,230.0,230.0,1738.0,47.0,230.002146
NVDA,2023-03-01 09:09:00+00:00,229.91,230.05,229.91,229.91,1395.0,34.0,229.979842
