symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-03-01 00:00:00+00:00,205.36,205.38,205.32,205.34,4271.0,69.0,205.342367
TSLA,2023-03-01 00:01:00+00:00,205.32,205.34,205.31,205.31,3813.0,51.0,205.31508
TSLA,2023-03-01 00:02:00+00:00,205.31,205.33,205.25,205.33,6949.0,108.0,205.29427
TSLA,2023-03-01 00:03:00+00:00,205.28,205.28,205.26,205.26,1603.0,73.0,205.266163
TSLA,2023-03-01 00:04:00+00:00,205.26,205.26,205.22,205.23,4804.0,121.0,205.240391
TSLA,2023-03-01 00:05:00+00:00,205.2,205.22,205.1,205.11,13012.0,233.0,205.160582
TSLA,2023-03-01 00:06:00+00:00,205.11,205.18,205.1,205.17,7044.0,138.0,205.13267
TSLA,2023-03-01 00:07:00+00:00,205.17,205.17,205.11,205.13,4256.0,120.0,205.14129
TSLA,2023-03-01 00:08:00+00:00,205.12,205.15,205.09,205.1,7669.0,194.0,205.105397
TSLA,2023-03-01 00:09:00+00:00,205.11,205.15,205.1,205.12,4055.0,129.0,205.117154
TSLA,2023-03-01 00:10:00+00:00,205.15,205.15,205.12,205.12,1697.0,71.0,205.137525
TSLA,2023-03-01 00:11:00+00:00,205.15,205.16,205.11,205.11,10953.0,128.0,205.131851
TSLA,2023-03-01 00:12:00+00:00,205.12,205.16,205.05,205.11,10233.0,139.0,205.112027
TSLA,2023-03-01 00:13:00+00:00,205.11,205.14,205.08,205.12,11204.0,87.0,205.100364
TSLA,2023-03-01 00:14:00+00:00,205.15,205.15,205.13,205.15,3731.0,77.0,205.142147
TSLA,2023-03-01 00:15:00+00:00,205.12,205.12,205.1,205.1,1880.0,50.0,205.114617
TSLA,2023-03-01 00:16:00+00:00,205.1,205.15,205.08,205.08,3195.0,91.0,205.105249
TSLA,2023-03-01 00:17:00+00:00,205.08,205.1,204.91,204.95,40240.0,697.0,204.994995
TSLA,2023-03-01 00:18:00+00:00,204.9,204.92,204.75,204.75,16341.0,382.0,204.805971
TSLA,2023-03-01 00:19:00+00:00,204.74,204.79,204.61,204.72,21534.0,318.0,204.673383
TSLA,2023-03-01 00:20:00+00:00,204.72,204.75,204.69,204.72,6653.0,132.0,204.725046
TSLA,2023-03-01 00:21:00+00:00,204.74,204.82,204.72,204.82,5932.0,100.0,204.777596
TSLA,2023-03-01 00:22:00+00:00,204.78,204.9,204.78,204.9,2573.0,93.0,204.830758
TSLA,2023-03-01 00:23:00+00:00,204.82,204.89,204.8199,204.85,8880.0,140.0,204.829943
TSLA,2023-03-01 00:24:00+00:00,204.82,204.86,204.82,204.86,2623.0,88.0,204.84069
TSLA,2023-03-01 00:25:00+00:00,204.85,204.85,204.75,204.75,6600.0,139.0,204.832573
TSLA,2023-03-01 00:26:00+00:00,204.73,204.84,204.73,204.8,9073.0,130.0,204.8161
TSLA,2023-03-01 00:27:00+00:00,204.8,204.84,204.7,204.7,14105.0,137.0,204.771624
TSLA,2023-03-01 00:28:00+00:00,204.8,204.8,204.72,204.8,9083.0,126.0,204.753934
TSLA,2023-03-01 00:29:00+00:00,204.76,204.93,204.76,204.93,5420.0,101.0,204.849251
TSLA,2023-03-01 00:30:00+00:00,204.95,204.95,204.7,204.74,8857.0,153.0,204.838388
TSLA,2023-03-01 00:31:00+00:00,204.8,204.83,204.8,204.8,2936.0,108.0,204.811097
TSLA,2023-03-01 00:32:00+00:00,204.82,204.86,204.81,204.86,3562.0,111.0,204.843004
TSLA,2023-03-01 00:33:00+00:00,204.85,204.85,204.8,204.8,3837.0,98.0,204.810745
TSLA,2023-03-01 00:34:00+00:00,204.72,204.8,204.72,204.7999,3518.0,97.0,204.778263
TSLA,2023-03-01 00:35:00+00:00,204.8,204.8,204.74,204.74,7630.0,95.0,204.779547
TSLA,2023-03-01 00:36:00+00:00,204.79,204.8,204.75,204.75,2523.0,90.0,204.774075
